No.,Lims No.,物质名称(英文),物质名称(中文),EC 号码,CAS 号码,可能用途
158,112,Orange lead (Lead tetroxide),四氧化三铅 ,215-235-6,1314-41-6,用于车用铅基电池， 彩色电视显像管的密封玻璃; 用于制造无色玻璃; 用作瓷板画助熔剂; 用于钢铁防护漆， 船舶油漆和清漆; 用于聚酯轮胎帘线的粘合剂; 用于着色橡胶和硫化聚酯橡胶橡胶; 在过去用作防腐漆的颜料，用在钢表面（如桥梁和混凝土的增强材料）
159,,o-Toluidine,邻甲基苯胺,202-429-0,95-53-4,用作制造染料、颜料、医药和杀虫剂的中间体; 用作纺织印染染料; 其他用途是用作有机合成的中间体和作为临床实验室葡萄糖分析试剂的成分;被REACH附录17 条目43所管控，限制纺织品和皮革使用能释放出该芳香胺的偶氮染料
160,,"p-(1,1-dimethylpropyl)phenol",对叔戊基苯酚,201-280-9,80-46-6,"用于香料和香精的生产；
作为单体用于聚合物（酚醛树脂）的生产；
用于胶黏剂，涂层，印刷油墨和油漆的配方和最终使用中。
"
161,,Pentacosafluorotridecanoic acid,全氟十三酸,276-745-2,72629-94-8,用于含氟聚合物的生产; 用作服装、皮革、食品保鲜膜和地毯，家具中的防水处理剂; 用于涂料、油漆、造纸和灭火泡沫
162,,Pentadecafluorooctanoic acid (PFOA),全氟辛酸,206-397-9,335-67-1,用作地毯、家具和衣物的防水防油剂; 用于聚四氟乙烯和食品包装；用于灭火的泡沫、摄影行业和半导体行业; 用于造纸和纸包装。用于油漆
163,115,Pentalead tetraoxide sulphate,氧化铅与硫酸铅的复合物,235-067-7,12065-90-6,用于车用铅基电池和PVC稳定剂
164,70,Pentazinc chromate octahydroxide,鋅黃 (CI 颜料黄 36),256-418-0,49663-84-5,主要用作汽车涂装和航空/航天领域的涂料
165,,Perfluorohexane-1-sulphonic acid and its salts (PFHxS),全氟己基磺酸及其盐类 (PFHxS), -, -,"可存在于地毯，皮革，服装，纺织品和家具装饰用品；
可存在于日常用品中（如，厨房用品，地板蜡，以及服装和鞋的防水喷雾）；
可存在于金属电镀，防火棉和电子设备中。

注释：PFHxS是全氟辛烷磺酸(PFOS)生产中的一种杂质。目前没有关于使用PFHxS的相关信息，但是它可存在于以上所提到的材料和产品中。"
166,,"Perfluorononan-1-oic acid (2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid and its sodium and ammonium salts",全氟壬酸及其钠盐和铵盐 ,206-801-3,"375-95-1;
21049-39-8;
4149-60-4","用作纺织品的防污处理剂；
存在于户外纺织品，地毯，手套，皮革，蓬布，耐污纺织品（如儿童防风衣，运动服及桌布）；
存在于纸质食品接触材料；
用于液晶显示屏；
用作生产含氟聚合物（尤其是聚偏二氯乙烯）的加工助剂；
用作润滑油的添加剂和灭火设备的表面活性剂，清洁剂，抛光的表面活性剂，防水试剂；
存在于纳米喷雾，浸渍喷雾及滑雪蜡。"
167,,Phenanthrene,菲,201-581-5,1985/1/8,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中
